curso_academico,cod_universidad,des_universidad,cod_departamento,des_departamento,cod_municipio,des_municipio,cod_campus,des_campus,des_situacion_departamento,fecha_desde_situacion_departamento
2021-22,010,Universidad-Complutense-de-Madrid,55000597,Cirugia,28079,MADRID,01001,Ciudad-Universitaria,Activo,1900-01-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000598,Medicina,28079,MADRID,01001,Ciudad-Universitaria,Activo,1900-01-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000599,Toxicologia-y-Legislacion-Sanitaria,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000600,Bioquimica-y-Biologia-Molecular-III,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000601,Biologia-Celular,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000602,Medicina-Preventiva-y-Salud-Publica,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000603,Estomatologia-I,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000604,Estomatologia-II,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000605,Estomatologia-III,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000606,Estomatologia-IV,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000607,Anatomia-y-Anatomia-Patologica-Comparada,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000608,Produccion-Animal,28079,MADRID,01001,Ciudad-Universitaria,Activo,1900-01-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000609,Fisiologia---Fisiologia-Animal,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000610,Toxicologia-y-Farmacologia,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000611,Farmacologia---Farmacognosia-y-Farmacologia-Experimental,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000612,Farmacia-y-Tecnologia-Farmaceutica,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000613,Edafologia,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000614,Microbiologia-II,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000615,Nutricion-y-Bromatologia-I,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000616,Nutricion-y-Bromatologia-II,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000617,Biologia-Vegetal-II,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000618,Bioquimica-y-Biologia-Molecular-II,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000619,Quimica-Fisica-II,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000620,Quimica-Inorganica-y-Bioinorganica,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000621,Quimica-Organica-y-Farmaceutica,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000622,Parasitologia,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000623,Fundamentos-del-Analisis-Economico-I,28115,POZUELO-DE-ALARCON,01002,Somosaguas,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000624,Fundamentos-del-Analisis-Economico-II,28115,POZUELO-DE-ALARCON,01002,Somosaguas,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
